id,question,expected_keypoints,answer,human_score
cal-01,What is Postgres WAL?,"WAL stands for Write-Ahead Logging;WAL ensures durability by writing changes before applying them","WAL, or Write-Ahead Logging, is how Postgres guarantees durability — changes are written to the log before being applied to data pages.",1
cal-02,What is Postgres WAL?,"WAL stands for Write-Ahead Logging;WAL ensures durability by writing changes before applying them","I'm not entirely sure about the internals of Postgres storage.",0
cal-03,How does HNSW indexing work?,"HNSW builds a hierarchical graph;approximate nearest-neighbour search;layers reduce search space","HNSW builds a multi-layer graph where each layer is a subset of the one below, enabling fast approximate nearest-neighbour search by entering at the top and greedily navigating down.",1
cal-04,How does HNSW indexing work?,"HNSW builds a hierarchical graph;approximate nearest-neighbour search;layers reduce search space","It's a type of vector index used for similarity search.",0
cal-05,What is a Prometheus burn rate alert?,"burn rate measures how fast an error budget is consumed;alerting on burn rate catches incidents faster than raw error rate","A burn rate alert fires when your error budget is being consumed faster than a sustainable rate, giving earlier warning than a simple error-rate threshold.",1
cal-06,What is a Prometheus burn rate alert?,"burn rate measures how fast an error budget is consumed;alerting on burn rate catches incidents faster than raw error rate","Prometheus is a monitoring system and burn rate is related to SLOs.",0
cal-07,What causes TTS jitter in voice agents?,"network latency variance;TTS engine queue depth;token generation speed variation","TTS jitter comes from variable token generation speed and network latency, causing uneven audio start times across turns.",1
cal-08,What causes TTS jitter in voice agents?,"network latency variance;TTS engine queue depth;token generation speed variation","The agent might be slow sometimes.",0
cal-09,What is VAD endpointing?,"VAD detects end of user speech;endpointing accuracy measures how close the detected end is to the actual end","VAD endpointing is the process of detecting when a user has finished speaking so the agent can respond promptly.",1
cal-10,What is barge-in in voice agents?,"barge-in lets a user interrupt the agent;the agent must yield within the barge-in budget","I don't have a confident answer about that topic.",0
